Timestamp,Confidence,Presence,Temperature,Humidity,Pressure,Light
Mon Oct 27 21:52:30 2025,1.0,False,24.65390625,0.39835254904213646,101301.7164385588,
Mon Oct 27 21:53:00 2025,1.0,False,24.63359375,0.3814659153090229,101303.1053537665,
Mon Oct 27 21:53:30 2025,1.0,False,24.63359375,0.38478794416568485,101297.83742881077,
Mon Oct 27 21:54:00 2025,1.0,False,24.608203125,0.3861955890581827,101304.9690551628,
Mon Oct 27 21:54:30 2025,1.0,False,24.628515625,0.38439387661932195,101303.9546033076,
Mon Oct 27 21:55:00 2025,1.0,False,24.628515625,0.3855197718422325,101298.17623461667,
Mon Oct 27 21:56:15 2025,1.0,False,24.5828125,0.3868148743039474,101300.21064961834,
Mon Oct 27 21:57:25 2025,1.0,False,24.5828125,0.3857457797387954,101293.4162072976,
Mon Oct 27 21:57:55 2025,1.0,False,24.61328125,0.3890660325572293,101300.21703756388,
Mon Oct 27 21:58:25 2025,1.0,False,24.587890625,0.38422535425583954,101299.87191446016,
Mon Oct 27 21:58:55 2025,1.0,False,24.598046875,0.3895730519508891,101299.18971163941,
Mon Oct 27 21:59:25 2025,1.0,False,24.618359375,0.3887847980632381,101298.68576703807,
